shape_id,begin,end
21-855-sj2-1.19.R,"1","723"
21-855-sj2-1.18.R,"1","868"
20-401-0-sj2-1.1.R,"1","693"
20-400-5-sj2-1.1.R,"1","412"
22-T80-sj2-1.3.H,"1","328"
22-T80-sj2-1.2.R,"1","457"
22-T80-sj2-1.14.R,"1","320"
22-T80-sj2-1.11.H,"1","300"
22-T80-sj2-1.9.H,"1","178"
22-T80-sj2-1.6.R,"1","351"
20-404-8-sj2-1.1.R,"1","239"
38-S52-0-sj2-1.1.H,"1","588"
38-S51-9-sj2-1.1.H,"1","251"
38-S51-0-sj2-1.1.R,"1","896"
38-M90-sj2-1.6.R,"1","138"
20-789-sj2-1.4.R,"1","342"
20-789-sj2-1.3.H,"1","375"
38-M90-sj2-1.37.H,"1","127"
20-789-sj2-1.2.H,"1","403"
38-M90-sj2-1.36.R,"1","698"
20-789-sj2-1.1.H,"1","350"
20-408-0-sj2-1.1.R,"1","598"
2-T8-sj2-9.9.H,"1","714"
2-T8-sj2-9.59.H,"1","711"
2-T8-sj2-9.58.R,"1","621"
20-789-sj2-1.5.R,"1","349"
2-T8-sj2-9.57.H,"1","723"
22-957-8-sj2-1.1.H,"1","449"
22-960-1-sj2-1.1.H,"1","575"
22-958-7-sj2-1.1.H,"1","243"
22-958-6-sj2-1.1.H,"1","225"
22-961-6-sj2-1.1.H,"1","446"
22-961-5-sj2-1.1.H,"1","397"
22-961-4-sj2-1.1.H,"1","620"
22-961-2-sj2-1.1.H,"1","494"
22-961-1-sj2-1.1.H,"1","566"
22-961-0-sj2-1.1.H,"1","730"
22-960-4-sj2-1.1.H,"1","495"
22-962-4-sj2-1.1.H,"1","743"
38-N30-sj2-1.3.H,"1","1387"
38-N30-sj2-1.2.R,"1","662"
38-N30-sj2-1.1.R,"1","1367"
22-962-1-sj2-1.1.H,"1","503"
22-961-7-sj2-1.1.H,"1","354"
22-963-1-sj2-1.1.H,"1","691"
38-S61-9-sj2-1.1.H,"1","1120"
22-962-7-sj2-1.1.H,"1","85"
38-S61-7-sj2-1.1.R,"1","440"
22-962-5-sj2-1.1.H,"1","493"
22-980-5-sj2-1.1.H,"1","552"
38-S61-1-sj2-1.1.H,"1","82"
22-980-4-sj2-1.1.H,"1","329"
