locality,Jobs,cutoff,X,T_freq,L_freq
BUSBY,29112.6360424028,30,1,0.0,1.0
MILLER,40519.4628937533,30,1,0.0,1.0
CASULA,22667.331486495,30,1,0.0,1.0
CARTWRIGHT,80304.8270011066,30,1,0.0,1.0
HECKENBERG,32458.7079365079,30,1,0.0,1.0
SADLEIR,19686.053081146998,30,1,0.0,1.0
LURNEA,52771.1852257782,30,1,0.0,1.0
ASHCROFT,24971.2150710646,30,1,0.0,1.0
LIVERPOOL,65108.004845456395,30,1,0.0,1.0
MOOREBANK,26735.9628537494,30,1,0.0,1.0
WARWICK FARM,56118.925170067996,30,1,0.0,1.0
WATTLE GROVE,4084.1965499874104,30,1,0.0,1.0
CHIPPING NORTON,17968.6663625998,30,1,0.0,1.0
HOLSWORTHY,6385.52058456603,30,1,0.0,1.0
HAMMONDVILLE,5506.5033832769395,30,1,0.0,1.0
MOUNT PRITCHARD,55401.548913043494,30,1,0.0,1.0
PRESTONS,26304.8676140613,30,1,0.0,1.0
VOYAGER POINT,2833.2344110854497,30,1,0.0,1.0
PLEASURE POINT,850.544964028777,30,1,0.0,1.0
WEST HOXTON,33748.6005347594,30,1,0.0,1.0
CECIL HILLS,6286.815793470009,30,1,0.0,1.0
HOXTON PARK,41341.1560184258,30,1,0.0,1.0
HINCHINBROOK,26739.627325023997,30,1,0.0,1.0
GREEN VALLEY,17385.525548727,30,1,0.0,1.0
HORNINGSEA PARK,13493.7768263313,30,1,0.0,1.0
MIDDLETON GRANGE,37994.940865502795,30,1,0.0,1.0
DENHAM COURT,814.0016877637131,30,1,0.0,1.0
EDMONDSON PARK,10493.4216465295,30,1,0.0,1.0
LUDDENHAM,6220.87692307692,30,1,0.0,1.0
CARNES HILL,36996.6213425129,30,1,0.0,1.0
ELIZABETH HILLS,8052.386584926071,30,1,0.0,1.0
CECIL PARK,323.0,30,1,0.0,1.0
LEN WATERS ESTATE,,30,1,0.0,1.0
LEPPINGTON,4980.61966604824,30,1,0.0,1.0
BRINGELLY,19141.5525736599,30,1,0.0,1.0
GREENDALE,441.75,30,1,0.0,1.0
BADGERYS CREEK,67269.9523809524,30,1,0.0,1.0
KEMPS CREEK,75374.5506615037,30,1,0.0,1.0
WALLACIA,183.617699115044,30,1,0.0,1.0
AUSTRAL,65217.976154513206,30,1,0.0,1.0
ROSSMORE,72519.3477236452,30,1,0.0,1.0
SILVERDALE,12.3448275862069,30,1,0.0,1.0
BUSBY,139530.674249117,45,1,0.0,1.0
MILLER,176789.315358605,45,1,0.0,1.0
CASULA,128744.86268337199,45,1,0.0,1.0
CARTWRIGHT,255163.46219107302,45,1,0.0,1.0
HECKENBERG,115867.58952381,45,1,0.0,1.0
SADLEIR,98473.4701037218,45,1,0.0,1.0
LURNEA,176008.296361245,45,1,0.0,1.0
ASHCROFT,86261.5618128184,45,1,0.0,1.0
LIVERPOOL,215471.36507485897,45,1,0.0,1.0
MOOREBANK,148967.289716181,45,1,0.0,1.0
WARWICK FARM,197279.793606763,45,1,0.0,1.0
WATTLE GROVE,14867.1829513976,45,1,0.0,1.0
CHIPPING NORTON,116509.954846066,45,1,0.0,1.0
HOLSWORTHY,52013.3674924256,45,1,0.0,1.0
HAMMONDVILLE,15473.739971000501,45,1,0.0,1.0
MOUNT PRITCHARD,152992.69927536199,45,1,0.0,1.0
PRESTONS,130940.916529544,45,1,0.0,1.0
