X,T_freq,L_freq
1,0,1
2,0,2
3,0,3
4,0,4
5,0,5
6,0,6
7,0,7.5
8,0,10
9,0,12
10,0,15
11,0,20
12,0,30
13,0,60
14,1,0
15,2,0
16,3,0
17,4,0
18,5,0
19,6,0
20,7.5,0
21,10,0
22,12,0
23,15,0
24,20,0
25,30,0
26,60,0
27,1,1
28,2,2
29,3,3
30,4,4
31,5,5
32,6,6
33,7.5,7.5
34,10,10
35,12,12
36,15,15
37,20,20
38,30,30
39,60,60
40,2,1
41,3,1
42,4,1
43,5,1
44,1,2
45,1,3
46,1,4
47,1,5
