shape_id,begin,end,stop_id,stop_name,stop_lat,stop_lon,distAlongR,parent_route
15th-LVPL-AERO,1,339,20200814251,15thAv_HoxtonPark_a,-33.9266754507,150.8581175471,6808.219492958199,15th-LVPL-AERO
15th-LVPL-AERO,1,339,20200814253,15thAv_MiddletonGrange_a,-33.9222476604,150.8396292901,8696.1135498667,15th-LVPL-AERO
15th-LVPL-AERO,1,339,20200814217,Austral-NE-EW,-33.9187794474,150.81478074950002,11026.0886865815,15th-LVPL-AERO
15th-LVPL-AERO,1,339,20200814222,Austral-NW-EW,-33.9169063557,150.80124081489996,12295.4974891335,15th-LVPL-AERO
15th-LVPL-AERO,1,339,20200814205,Rossmore-NE-EW,-33.9148143064,150.78590399520002,13732.8096892956,15th-LVPL-AERO
15th-LVPL-AERO,1,339,20200814194,Rossmore-NW-EW,-33.9128621998,150.7714053563,15091.14843829,15th-LVPL-AERO
15th-LVPL-AERO,1,339,20200814255,15thAv_Bringelly_a,-33.9101916325,150.7459960408,17558.2181804158,15th-LVPL-AERO
15th-LVPL-AERO,1,339,20200814258,AerotropolisStation_b,-33.9204212028,150.7368808928,19465.427540237,15th-LVPL-AERO
20th-AERO-LVPL,1,322,20200814257,AerotropolisStation_a,-33.9204971934,150.7367745059,22.0321136281,20th-AERO-LVPL
20th-AERO-LVPL,1,322,20200814256,15thAv_Bringelly_b,-33.9101853275,150.7459844104,1939.6769220169,20th-AERO-LVPL
20th-AERO-LVPL,1,322,20200814278,20thAv_ETway_Interchange_b,-33.8985853558,150.7589480911,4394.1219497539005,20th-AERO-LVPL
20th-AERO-LVPL,1,322,20200814226,KempsCreek-SW-WE,-33.9009918582,150.77695692059999,6085.4028285808,20th-AERO-LVPL
20th-AERO-LVPL,1,322,20200814230,KempsCreek-SE-WE,-33.9020838387,150.7884978785,7168.9488580658,20th-AERO-LVPL
20th-AERO-LVPL,1,322,20200814221,Austral-NW-WE,-33.9168907038,150.8012431864,10009.666817703299,20th-AERO-LVPL
20th-AERO-LVPL,1,322,20200814218,Austral-NE-WE,-33.9187749343,150.81477849290002,11278.8140425176,20th-AERO-LVPL
20th-AERO-LVPL,1,322,20200814254,15thAv_MiddletonGrange_b,-33.922206732199996,150.83964293280002,13609.588375064199,20th-AERO-LVPL
20th-AERO-LVPL,1,322,20200814252,15thAv_HoxtonPark_b,-33.926374513,150.8607374752,15731.239051383602,20th-AERO-LVPL
20th-AERO-LVPL,1,322,20200814249,15thAv_MillerTway_a,-33.9269647039,150.87097446499996,16694.8677482479,20th-AERO-LVPL
20th-AERO-LVPL,1,322,20200814247,15thAv_AshTway_a,-33.9275354765,150.8832335975,17840.5499133342,20th-AERO-LVPL
20th-AERO-LVPL,1,322,20200814245,15thAv_MaxwellsTway_a,-33.9263351743,150.8992312574,19331.8055922321,20th-AERO-LVPL
20th-AERO-LVPL,1,322,20200814243,15thAv_BrickmakersTway_a,-33.9278430218,150.91032024700002,20371.0803786251,20th-AERO-LVPL
20th-AERO-LVPL,1,322,20200814242,15thAv_LiverpoolStation_b,-33.923102999,150.92683215989996,22222.242999472797,20th-AERO-LVPL
20th-LVPL-AERO,1,328,20200814241,15thAv_LiverpoolStation_a,-33.9229589158,150.926652438,20.871406078299998,20th-LVPL-AERO
20th-LVPL-AERO,1,328,20200814244,15thAv-BrickmakersTway_b,-33.9280104982,150.9102681745,1927.6655359613,20th-LVPL-AERO
20th-LVPL-AERO,1,328,20200814246,15thAv_MaxwellsTway_b,-33.9265808476,150.898368081,3042.12045841,20th-LVPL-AERO
20th-LVPL-AERO,1,328,20200814248,15thAv_AshTway_b,-33.927846709899995,150.8820714551,4562.5231306009,20th-LVPL-AERO
20th-LVPL-AERO,1,328,20200814250,15thAv_MillerTway_b,-33.9273033547,150.8713840906,5559.3422203379005,20th-LVPL-AERO
20th-LVPL-AERO,1,328,20200814251,15thAv_HoxtonPark_a,-33.9266754507,150.8581175471,6808.219492958199,20th-LVPL-AERO
20th-LVPL-AERO,1,328,20200814253,15thAv_MiddletonGrange_a,-33.9222476604,150.8396292901,8696.1135498667,20th-LVPL-AERO
20th-LVPL-AERO,1,328,20200814217,Austral-NE-EW,-33.9187794474,150.81478074950002,11026.0888504026,20th-LVPL-AERO
20th-LVPL-AERO,1,328,20200814222,Austral-NW-EW,-33.9169063557,150.80124081489996,12295.4388167126,20th-LVPL-AERO
20th-LVPL-AERO,1,328,20200814229,KempsCreek-SE-EW,-33.9021045164,150.78849486299998,15136.153281229299,20th-LVPL-AERO
20th-LVPL-AERO,1,328,20200814225,KempsCreek-SW-EW,-33.9009991284,150.7769496504,16219.978561253401,20th-LVPL-AERO
20th-LVPL-AERO,1,328,20200814277,20thAv_ETway_Interchange_a,-33.8985989882,150.7589480911,17910.8395189039,20th-LVPL-AERO
20th-LVPL-AERO,1,328,20200814255,15thAv_Bringelly_a,-33.9101916325,150.7459960408,20366.0163532006,20th-LVPL-AERO
20th-LVPL-AERO,1,328,20200814258,AerotropolisStation_b,-33.9204212028,150.7368808928,22273.2257052567,20th-LVPL-AERO
25th-BPRK-CBMT,1,325,20200814280,BusinessParkStation_b,-33.8833670638,150.738485555,247.8820314172,25th-BPRK-CBMT
25th-BPRK-CBMT,1,325,20200814282,25thAv_ETway_Interchange_b,-33.8864285919,150.7604154342,2501.7665643502,25th-BPRK-CBMT
25th-BPRK-CBMT,1,325,20200814238,KempsCreek-NW-WE,-33.8879571925,150.7769522291,4150.682856700801,25th-BPRK-CBMT
25th-BPRK-CBMT,1,325,20200814234,KempsCreek-NE-WE,-33.889866902,150.7908608198,5454.7694128796,25th-BPRK-CBMT
25th-BPRK-CBMT,1,325,20200814327,DTway_ElizabethDrive_a,-33.8809749106,150.79267254409996,6470.5936822451,25th-BPRK-CBMT
25th-BPRK-CBMT,1,325,20200814284,ETway_MamreRoad_b,-33.8804628803,150.8091859539,8049.3279679796,25th-BPRK-CBMT
25th-BPRK-CBMT,1,325,20200814302,ETway_CecilRoad_b,-33.8746762203,150.8388988509,11053.8904173429,25th-BPRK-CBMT
25th-BPRK-CBMT,1,325,20200814299,ETway_CecilHills_b,-33.8835274651,150.8578880411,13175.9241544041,25th-BPRK-CBMT
25th-BPRK-CBMT,1,325,20200814298,ETway_BonnyriggHeights_b,-33.8853638624,150.8698816733,14336.9249632237,25th-BPRK-CBMT
25th-BPRK-CBMT,1,325,20200814286,ETway_LPTway_b,-33.8894283686,150.8831936629,15668.233503733101,25th-BPRK-CBMT
25th-BPRK-CBMT,1,325,20200814290,ETway_Bonnyrigg_b,-33.8932547877,150.8916649466,16579.280485710802,25th-BPRK-CBMT
25th-BPRK-CBMT,1,325,20200814288,ETway_MountPritchard_b,-33.8948067793,150.9032200551,17661.9520239772,25th-BPRK-CBMT
