shape_id,begin,end,stop_id,stop_name,stop_lat,stop_lon,distAlongR,parent_route
10th-ASTH-CSLA,1,427,20200814260,10thAv_AerotropolisSouth_b,-33.93448283,150.74096519999998,47.945029999999996,10th-ASTH-CSLA
10th-ASTH-CSLA,1,427,20200814198,Rossmore-SW-WE,-33.92576573,150.7691628,3804.0891899999997,10th-ASTH-CSLA
10th-ASTH-CSLA,1,427,20200814202,Rossmore-SE-WE,-33.92903499,150.78489130000003,5446.92407,10th-ASTH-CSLA
10th-ASTH-CSLA,1,427,20200814210,Austral-SW-WE,-33.93120032,150.79867119999997,6743.77943,10th-ASTH-CSLA
10th-ASTH-CSLA,1,427,20200814214,Austral-SE-WE,-33.93304835,150.8118293,7977.772059999999,10th-ASTH-CSLA
10th-ASTH-CSLA,1,427,20200814262,10thAv_WestHoxton_b,-33.93422593,150.8353623,10753.84079,10th-ASTH-CSLA
10th-ASTH-CSLA,1,427,20200814264,10thAv_CarnesHill_b,-33.93596396,150.84553530000002,11928.491820000001,10th-ASTH-CSLA
10th-ASTH-CSLA,1,427,20200814276,10thAv_PrestonsIndustrial_b,-33.94098811,150.8582142,13308.778909999999,10th-ASTH-CSLA
10th-ASTH-CSLA,1,427,20200814266,10thAv_Prestons_b,-33.94224109,150.8676134,14188.79582,10th-ASTH-CSLA
10th-ASTH-CSLA,1,427,20200814274,10thAv_NexusIndustryPark_b,-33.94418223,150.8818029,15525.08311,10th-ASTH-CSLA
10th-ASTH-CSLA,1,427,20200814268,10thAv_Lurnea_b,-33.94551763,150.891427,16452.00027,10th-ASTH-CSLA
10th-ASTH-CSLA,1,427,20200814272,10thAv_CasulaMall_b,-33.94691283,150.9003706,17301.45222,10th-ASTH-CSLA
10th-ASTH-CSLA,1,427,20200814269,10thAv_CasulaStation_a,-33.9500156,150.91139219999997,18951.68275,10th-ASTH-CSLA
10th-CSLA-ASTH,1,452,20200814270,10thAv_CasulaStation_b,-33.95004272,150.9114066,15.5948,10th-CSLA-ASTH
10th-CSLA-ASTH,1,452,20200814271,10thAv_CasulaMall_a,-33.94694684,150.9003094,1698.14395,10th-CSLA-ASTH
