shape_id,begin,end,stop_id,stop_name,stop_lat,stop_lon,distAlongR,parent_route
15th-LVPL-AERO,1,336,20200814217,Austral-NE-EW,-33.91878525,150.81478380000001,11025.70613,15th-LVPL-AERO
15th-LVPL-AERO,1,336,20200814222,Austral-NW-EW,-33.91796598,150.80892619999997,11575.02306,15th-LVPL-AERO
15th-LVPL-AERO,1,336,20200814205,Rossmore-NE-EW,-33.91408072,150.7853648,13903.442519999999,15th-LVPL-AERO
15th-LVPL-AERO,1,336,20200814194,Rossmore-NW-EW,-33.91240923,150.77134980000002,15213.0008,15th-LVPL-AERO
15th-LVPL-AERO,1,336,20200814255,15thAv_Bringelly_a,-33.91019163,150.745996,17659.12777,15th-LVPL-AERO
15th-LVPL-AERO,1,336,20200814258,AerotropolisStation_b,-33.92042120000001,150.73688090000002,19566.33713,15th-LVPL-AERO
20th-AERO-LVPL,1,318,20200814257,AerotropolisStation_a,-33.92049719,150.73677450000002,22.03211363,20th-AERO-LVPL
20th-AERO-LVPL,1,318,20200814256,15thAv_Bringelly_b,-33.91018533,150.7459844,1939.6769219999999,20th-AERO-LVPL
20th-AERO-LVPL,1,318,20200814278,20thAv_ETway_Interchange_b,-33.89858536,150.7589481,4394.12195,20th-AERO-LVPL
20th-AERO-LVPL,1,318,20200814226,KempsCreek-SW-WE,-33.90099186,150.77695690000002,6085.402829,20th-AERO-LVPL
20th-AERO-LVPL,1,318,20200814230,KempsCreek-SE-WE,-33.90211413,150.78822580000002,7143.154481999999,20th-AERO-LVPL
20th-AERO-LVPL,1,318,20200814221,Austral-NW-WE,-33.91795364,150.8089158,10579.76185,20th-AERO-LVPL
20th-AERO-LVPL,1,318,20200814218,Austral-NE-WE,-33.91876096,150.8147676,11128.30092,20th-AERO-LVPL
20th-AERO-LVPL,1,318,20200814254,15thAv_MiddletonGrange_b,-33.92220673,150.8396429,13460.32914,20th-AERO-LVPL
20th-AERO-LVPL,1,318,20200814252,15thAv_HoxtonPark_b,-33.92637451,150.8607375,15581.979809999999,20th-AERO-LVPL
20th-AERO-LVPL,1,318,20200814249,15thAv_MillerTway_a,-33.926964700000006,150.87097450000002,16545.60851,20th-AERO-LVPL
20th-AERO-LVPL,1,318,20200814247,15thAv_AshTway_a,-33.92753548,150.88323359999998,17691.29067,20th-AERO-LVPL
20th-AERO-LVPL,1,318,20200814245,15thAv_MaxwellsTway_a,-33.92633517,150.8992313,19182.54635,20th-AERO-LVPL
20th-AERO-LVPL,1,318,20200814243,15thAv_BrickmakersTway_a,-33.92784302,150.91032019999997,20221.82114,20th-AERO-LVPL
20th-AERO-LVPL,1,318,20200814242,15thAv_LiverpoolStation_b,-33.923103000000005,150.9268322,22072.98376,20th-AERO-LVPL
20th-LVPL-AERO,1,327,20200814241,15thAv_LiverpoolStation_a,-33.92295892,150.9266524,20.87140608,20th-LVPL-AERO
20th-LVPL-AERO,1,327,20200814244,15thAv-BrickmakersTway_b,-33.9280105,150.9102682,1927.665536,20th-LVPL-AERO
20th-LVPL-AERO,1,327,20200814246,15thAv_MaxwellsTway_b,-33.92658085,150.8983681,3042.120458,20th-LVPL-AERO
20th-LVPL-AERO,1,327,20200814248,15thAv_AshTway_b,-33.92784671,150.8820715,4562.523131,20th-LVPL-AERO
20th-LVPL-AERO,1,327,20200814250,15thAv_MillerTway_b,-33.92730335,150.8713841,5559.34222,20th-LVPL-AERO
20th-LVPL-AERO,1,327,20200814251,15thAv_HoxtonPark_a,-33.92667545,150.8581175,6808.2194930000005,20th-LVPL-AERO
20th-LVPL-AERO,1,327,20200814253,15thAv_MiddletonGrange_a,-33.92224766,150.8396293,8696.11355,20th-LVPL-AERO
20th-LVPL-AERO,1,327,20200814217,Austral-NE-EW,-33.91878525,150.81478380000001,11025.70613,20th-LVPL-AERO
20th-LVPL-AERO,1,327,20200814222,Austral-NW-EW,-33.91796598,150.80892619999997,11575.02306,20th-LVPL-AERO
20th-LVPL-AERO,1,327,20200814229,KempsCreek-SE-EW,-33.90214498,150.7882644,15038.085330000002,20th-LVPL-AERO
20th-LVPL-AERO,1,327,20200814225,KempsCreek-SW-EW,-33.90099913,150.7769497,16100.059980000002,20th-LVPL-AERO
20th-LVPL-AERO,1,327,20200814277,20thAv_ETway_Interchange_a,-33.89859899,150.7589481,17790.92094,20th-LVPL-AERO
