stop_id,stop_code,stop_name,stop_lat,stop_lon,location_t,parent_sta,wheelchair,platform_c,mode,route
"2171432",2171432.000000000000000,"Inspire Church, Hoxton Park Rd",-33.926348156572594,150.867139962443019,,,"0",,Bus,
"2170481",2170481.000000000000000,Macquarie St At Short St,-33.927884599881111,150.918794909759015,,,"0",,Bus,
"2170480",2170480.000000000000000,"Woodward Park, Hoxton Park Rd",-33.928155345669595,150.912840240699012,,,"0",,Bus,
"217493",217493.000000000000000,Bernera Rd Opp Poziers Rd,-33.963459613095104,150.861304935416001,,,"0",,Bus,
"2168258",2168258.000000000000000,Cowpasture Rd After Collarenebri Rd,-33.921516236936682,150.850545098017022,,,"0",,Bus,
"216425",216425.000000000000000,Victoria St Opp Daniel St,-33.846286806054394,150.905836879622029,,,"0",,Bus,
"217092",217092.000000000000000,Bigge St Opp Liverpool Station,-33.924059011228394,150.926575162874997,,,"0",,Bus,
"2170456",2170456.000000000000000,Kurrajong Rd After Bernera Rd,-33.942118137616106,150.865983508175987,,,"0",,Bus,
"2170458",2170458.000000000000000,Kurrajong Rd Before Mowbray St,-33.941514802328399,150.861382763122009,,,"0",,Bus,
"2168206",2168206.000000000000000,Cartwright Av At Merino St,-33.916366282317796,150.879075018462999,,,"0",,Bus,
"2168203",2168203.000000000000000,"Miller Shopping Centre, Cartwright Av",-33.919009943423703,150.883821230037000,,,"0",,Bus,
"2168200",2168200.000000000000000,Cartwright Av At Mawson Dr,-33.924026559222092,150.889605337733002,,,"0",,Bus,
"2168201",2168201.000000000000000,"McGirr Park, Cartwright Av",-33.920662881020498,150.887690352912045,,,"0",,Bus,
"216865",216865.000000000000000,Lord Howe Dr Opp Claremont Cres,-33.909549060136001,150.862046027950981,,,"0",,Bus,
"216864",216864.000000000000000,Lord Howe Dr After Wilson Rd,-33.910372631415299,150.864515015660032,,,"0",,Bus,
"2171332",2171332.000000000000000,Kurrajong Rd Opp Carnes Hill Marketplace,-33.935921783472899,150.845475232383990,,,"0",,Bus,
"2168123",2168123.000000000000000,Lord Howe Dr Opp Cockatoo Cl,-33.908576466639602,150.860878093761016,,,"0",,Bus,
"2168122",2168122.000000000000000,Lord Howe Dr After Lindeman Cres,-33.906929598374603,150.859085337099003,,,"0",,Bus,
"2164345",2164345.000000000000000,"Wetherill Park Reserve, Victoria St",-33.847597114794311,150.913380825422962,,,"0",,Bus,
"2164344",2164344.000000000000000,Victoria St Opp Wetherill Park Reserve,-33.847393329206398,150.913555114424980,,,"0",,Bus,
"2164341",2164341.000000000000000,Victoria St Opp Wetherill St,-33.848204004528398,150.919229628561993,,,"0",,Bus,
"2164340",2164340.000000000000000,Victoria St At Vonn Av,-33.848634877138601,150.920696512075011,,,"0",,Bus,
"2170557",2170557.000000000000000,Moore St At Crawford Lane,-33.922864260031503,150.925612287829011,,,"0",,Bus,
"2168237",2168237.000000000000000,Green Valley T-Way Station - To Liverpool,-33.900022873732091,150.876410054059022,,,"0",,Bus,
"2168236",2168236.000000000000000,Green Valley T-Way Station - To Parramatta,-33.899746984958000,150.876300291375998,,,"0",,Bus,
"2170508",2170508.000000000000000,Hoxton Park Rd Before Lyn Pde,-33.927656585126194,150.889651677092985,,,"0",,Bus,
"2170501",2170501.000000000000000,Hoxton Park Rd After Gillespie St,-33.928698662644287,150.915870309218008,,,"0",,Bus,
"2170502",2170502.000000000000000,Hoxton Park Rd At Gill Av,-33.928212565329986,150.911891584306005,,,"0",,Bus,
"2170503",2170503.000000000000000,Hoxton Park Rd Opp Liverpool West Public School,-33.927620947049796,150.907259476664990,,,"0",,Bus,
"2168174",2168174.000000000000000,"Hoxton Park Shops, Hoxton Park Rd",-33.926715341016099,150.858032926940012,,,"0",,Bus,
"2168175",2168175.000000000000000,"Good Samaritan College, Hoxton Park Rd",-33.926312977756609,150.860803734358996,,,"0",,Bus,
"2168177",2168177.000000000000000,Hoxton Park Rd Opp Inspire Church,-33.925944245777110,150.867089252298996,,,"0",,Bus,
"2168173",2168173.000000000000000,Hoxton Park Rd After Glen Innes Rd,-33.926012114188502,150.854596038178016,,,"0",,Bus,
"2168179",2168179.000000000000000,Hoxton Park Rd Opp Liverpool Catholic Club,-33.927672589438899,150.874875076387013,,,"0",,Bus,
"2170730",2170730.000000000000000,Hoxton Park Rd Opp Balmain Rd,-33.926861992464794,150.895679851765010,,,"0",,Bus,
"2170478",2170478.000000000000000,Hoxton Park Rd Opp Calabro Av,-33.927154099499397,150.906070662126012,,,"0",,Bus,
"2171449",2171449.000000000000000,"Carnes Hill Marketplace, Kurrajong Rd",-33.936087811163112,150.845352971664994,,,"0",,Bus,
"2176258",2176258.000000000000000,St Johns T-Way,-33.873411527597391,150.900116760962050,,,"0",,Bus,
"2176259",2176259.000000000000000,Orphan School T-Way Station - To Parramatta,-33.866243519994299,150.896549630182989,,,"0",,Bus,
"2176256",2176256.000000000000000,Clear Paddock T-Way Station - To Liverpool,-33.878300056088399,150.895423802096985,,,"0",,Bus,
"2176257",2176257.000000000000000,St Johns T-Way Station - To Liverpool,-33.874162927180407,150.900291432689016,,,"0",,Bus,
"2176254",2176254.000000000000000,Bonnyrigg T-Way Station - To Liverpool,-33.886174020361196,150.886933130710020,,,"0",,Bus,
"2176255",2176255.000000000000000,Orphan School T-Way Station - To Liverpool,-33.866351616143199,150.896835405571011,,,"0",,Bus,
"2176253",2176253.000000000000000,Bonnyrigg T-Way Station - To Parramatta,-33.885603855379706,150.887296201174962,,,"0",,Bus,
"216434",216434.000000000000000,Victoria St At Daniel St,-33.846477819856489,150.905780787397987,,,"0",,Bus,
"2168105",2168105.000000000000000,Lord Howe Dr Before Bickerton Av,-33.907098005755408,150.858887594302018,,,"0",,Bus,
"2168104",2168104.000000000000000,Lord Howe Dr At Cape Baron Av,-33.908524317790601,150.860529892110009,,,"0",,Bus,
"2168103",2168103.000000000000000,"Murragan Park, South Liverpool Rd",-33.910836035749092,150.866686751109000,,,"0",,Bus,
"2168102",2168102.000000000000000,South Liverpool Rd Opp Jabiru St,-33.910914841699501,150.870483916260014,,,"0",,Bus,
"2170440",2170440.000000000000000,Bernera Rd After Wroxham St,-33.949585461364805,150.865791802506010,,,"0",,Bus,
"2171471",2171471.000000000000000,Cowpasture Rd After Fifteenth Av,-33.922683983140899,150.849224898780989,,,"0",,Bus,
"2176262",2176262.000000000000000,Prairiewood T-Way Station - To Liverpool,-33.859137001926797,150.897014827649002,,,"0",,Bus,
"2176261",2176261.000000000000000,Prairiewood T-Way Station - To Parramatta,-33.858610205819112,150.896861247391996,,,"0",,Bus,
"2176260",2176260.000000000000000,Clear Paddock T-Way Station - To Parramatta,-33.877884548923298,150.895739806580991,,,"0",,Bus,
"2168181",2168181.000000000000000,Hoxton Park Rd Before Edgeworth Pl,-33.927441699437786,150.885047648832000,,,"0",,Bus,
"2168180",2168180.000000000000000,Hoxton Park Rd At Mawson Dr,-33.927486646221489,150.881341857389003,,,"0",,Bus,
"2168183",2168183.000000000000000,Hoxton Park Rd At Balmain Rd,-33.926641162950794,150.894686086774016,,,"0",,Bus,
"2168182",2168182.000000000000000,Hoxton Park Rd After Cartwright Av,-33.927299639987993,150.890965051800009,,,"0",,Bus,
"216874",216874.000000000000000,South Liverpool Rd Before Brolga Cres,-33.910791039989498,150.872412934661043,,,"0",,Bus,
"2171292",2171292.000000000000000,"Hoxton Park Anglican Church, Cowpasture Rd",-33.931484201248104,150.845891679880992,,,"0",,Bus,
"2170526",2170526.000000000000000,"Woodward Park, Hoxton Park Rd",-33.928569597907298,150.915961683465014,,,"0",,Bus,
"2170234",2170234.000000000000000,Moore St Before Macquarie St,-33.922677861017405,150.924112055040979,,,"0",,Bus,
"2171428",2171428.000000000000000,Cowpasture Rd After Tibooburra Rd,-33.929606263050189,150.847158449759007,,,"0",,Bus,
"2164332",2164332.000000000000000,Victoria T-Way,-33.844958442242500,150.896855990549994,,,"0",,Bus,
"2164333",2164333.000000000000000,Horsley T-Way,-33.852175336270591,150.896320154101005,,,"0",,Bus,
"2164331",2164331.000000000000000,Victoria T-Way,-33.845175301240687,150.896552665030981,,,"0",,Bus,
"2164334",2164334.000000000000000,Horsley T-Way,-33.852508050554398,150.896626895819992,,,"0",,Bus,
"216827",216827.000000000000000,South Liverpool Rd Before Jabiru St,-33.910778678787388,150.870229168977005,,,"0",,Bus,
